* Source:
*
*   http://www.belgocontrol.be/
*
*   AIP Part 2 EN-ROUTE (ENR)
*   ENR 2 AIR TRAFFIC SERVICES AIRSPACE
*    ENR 2.1 FIR, UIR, TMA
*
*   Belgian border data was extracted from
*   http://downloads.cloudmade.com/europe/western_europe/belgium/belgium.poly
*
* Last check: 
*
*   Wim Verhoeve (17 December 2011)
*
* Map List:
* 
*   MAP WEEK           YES
*   MAP WEEKEND        YES
*   MAP WEEKEND_LFAG1  YES
*   MAP WEEKEND_LFAG2  YES
*   MAP WEEKEND_LFAG5  YES
*
* Remark for paragliders:
*   - This is the whole of Belgian airspace => not relevant for paragliding

AC G
AN Brussels FIR
AH FL 195
AL GND
DP 50.023499 N 6.126337 E
DP 50.023499 N 6.132581 E
DP 50.019894 N 6.132882 E
DP 50.019806 N 6.126637 E
DP 50.016094 N 6.126916 E
DP 50.015987 N 6.120651 E
DP 50.008801 N 6.133761 E
DP 50.008907 N 6.140027 E
DP 50.005196 N 6.140327 E
DP 50.001503 N 6.134341 E
DP 49.997791 N 6.134641 E
DP 49.997707 N 6.128376 E
DP 49.993996 N 6.128676 E
DP 49.994209 N 6.141207 E
DP 49.990498 N 6.141486 E
DP 49.986893 N 6.148052 E
DP 49.983395 N 6.160841 E
DP 49.983307 N 6.154597 E
DP 49.961292 N 6.156378 E
DP 49.961292 N 6.162622 E
DP 49.953999 N 6.163201 E
DP 49.954105 N 6.175711 E
DP 49.961506 N 6.175132 E
DP 49.961399 N 6.168888 E
DP 49.965092 N 6.168587 E
DP 49.965092 N 6.170840 E
DP 49.963612 N 6.172106 E
DP 49.960304 N 6.178994 E
DP 49.968887 N 6.183736 E
DP 49.971207 N 6.190538 E
DP 49.967110 N 6.195173 E
DP 49.960693 N 6.195667 E
DP 49.955994 N 6.198370 E
DP 49.954597 N 6.203241 E
DP 49.954491 N 6.212983 E
DP 49.951595 N 6.219163 E
DP 49.940498 N 6.225729 E
DP 49.934494 N 6.225665 E
DP 49.929493 N 6.224313 E
DP 49.923100 N 6.224442 E
DP 49.921211 N 6.231802 E
DP 49.917305 N 6.234291 E
DP 49.909599 N 6.230750 E
DP 49.904793 N 6.233475 E
DP 49.899002 N 6.238754 E
DP 49.895996 N 6.234848 E
DP 49.895996 N 6.236608 E
DP 49.892391 N 6.236908 E
DP 49.892498 N 6.243088 E
DP 49.888809 N 6.243410 E
DP 49.885204 N 6.249869 E
DP 49.881493 N 6.250191 E
DP 49.881599 N 6.256306 E
DP 49.877907 N 6.256649 E
DP 49.877995 N 6.262701 E
DP 49.874496 N 6.268988 E
DP 49.874905 N 6.279781 E
DP 49.871193 N 6.280296 E
DP 49.871407 N 6.285360 E
DP 49.864002 N 6.286283 E
DP 49.864304 N 6.291583 E
DP 49.868294 N 6.296904 E
DP 49.868595 N 6.302869 E
DP 49.865204 N 6.309242 E
DP 49.861492 N 6.309628 E
DP 49.861191 N 6.303642 E
DP 49.857502 N 6.304028 E
DP 49.857803 N 6.309993 E
DP 49.854004 N 6.310380 E
DP 49.850594 N 6.316731 E
DP 49.846901 N 6.317117 E
DP 49.842888 N 6.311517 E
DP 49.835506 N 6.312289 E
DP 49.836411 N 6.330185 E
DP 49.840099 N 6.329799 E
DP 49.841709 N 6.332009 E
DP 49.841797 N 6.335421 E
DP 49.846710 N 6.337845 E
DP 49.851109 N 6.342437 E
DP 49.854004 N 6.362994 E
DP 49.852695 N 6.370847 E
DP 49.849197 N 6.375782 E
DP 49.837009 N 6.385524 E
DP 49.827396 N 6.395159 E
DP 49.823601 N 6.397455 E
DP 49.819992 N 6.405222 E
DP 49.817097 N 6.424963 E
DP 49.815208 N 6.432130 E
DP 49.814995 N 6.443460 E
DP 49.813107 N 6.447966 E
DP 49.813190 N 6.450047 E
DP 49.821304 N 6.460712 E
DP 49.822098 N 6.472085 E
DP 49.818707 N 6.478114 E
DP 49.814995 N 6.478479 E
DP 49.811691 N 6.484530 E
DP 49.812397 N 6.495881 E
DP 49.809093 N 6.501932 E
DP 49.805405 N 6.502297 E
DP 49.805702 N 6.507962 E
DP 49.801991 N 6.508327 E
DP 49.804501 N 6.511588 E
DP 49.803192 N 6.512382 E
DP 49.805702 N 6.517575 E
DP 49.813107 N 6.524334 E
DP 49.808601 N 6.528261 E
DP 49.802505 N 6.524613 E
DP 49.796497 N 6.517789 E
DP 49.794395 N 6.511159 E
DP 49.790104 N 6.506932 E
DP 49.785103 N 6.517725 E
DP 49.779888 N 6.513884 E
DP 49.772896 N 6.515257 E
DP 49.768387 N 6.518090 E
DP 49.763687 N 6.518819 E
DP 49.758991 N 6.515129 E
DP 49.753906 N 6.504400 E
DP 49.748497 N 6.501975 E
DP 49.742294 N 6.503284 E
DP 49.737209 N 6.506674 E
DP 49.735001 N 6.510580 E
DP 49.734806 N 6.497920 E
DP 49.724205 N 6.516480 E
DP 49.723801 N 6.512017 E
DP 49.727703 N 6.507082 E
DP 49.728992 N 6.500688 E
DP 49.725601 N 6.497126 E
DP 49.715687 N 6.503177 E
DP 49.711098 N 6.496847 E
DP 49.703499 N 6.489573 E
DP 49.697899 N 6.476204 E
DP 49.695496 N 6.473050 E
DP 49.694809 N 6.461549 E
DP 49.691097 N 6.461914 E
DP 49.690903 N 6.459639 E
DP 49.679703 N 6.449511 E
DP 49.674812 N 6.440499 E
DP 49.670391 N 6.429448 E
DP 49.666294 N 6.424105 E
DP 49.658913 N 6.424835 E
DP 49.659599 N 6.436250 E
DP 49.652302 N 6.437001 E
DP 49.632713 N 6.421680 E
DP 49.625202 N 6.422410 E
DP 49.620010 N 6.417174 E
DP 49.617496 N 6.417410 E
DP 49.613400 N 6.412067 E
DP 49.613098 N 6.406338 E
DP 49.610611 N 6.403205 E
DP 49.601189 N 6.395996 E
DP 49.597198 N 6.390610 E
DP 49.596489 N 6.379280 E
DP 49.592201 N 6.376748 E
DP 49.587395 N 6.380289 E
DP 49.583401 N 6.381705 E
DP 49.580399 N 6.380675 E
DP 49.574303 N 6.381319 E
DP 49.573704 N 6.369710 E
DP 49.577309 N 6.369345 E
DP 49.577007 N 6.366856 E
DP 49.574005 N 6.363659 E
DP 49.569199 N 6.366684 E
DP 49.564392 N 6.371298 E
DP 49.561901 N 6.376169 E
DP 49.558598 N 6.379452 E
DP 49.553406 N 6.379001 E
DP 49.551708 N 6.377842 E
DP 49.547997 N 6.378164 E
DP 49.547997 N 6.371427 E
DP 49.544392 N 6.371512 E
DP 49.539391 N 6.364861 E
DP 49.535099 N 6.360848 E
DP 49.530701 N 6.359453 E
DP 49.525597 N 6.360376 E
DP 49.527012 N 6.367350 E
DP 49.509201 N 6.372542 E
DP 49.506905 N 6.364925 E
DP 49.497101 N 6.367457 E
DP 49.481907 N 6.364989 E
DP 49.477295 N 6.364839 E
* END German-Luxembourg border
DP 49:28:10 N 006:22:02 E
* START French-Luxembourg border
DP 49.468388 N 6.366298 E
DP 49.465191 N 6.359711 E
DP 49.464203 N 6.340549 E
DP 49.469398 N 6.329026 E
DP 49.473797 N 6.324327 E
DP 49.476501 N 6.316044 E
DP 49.478107 N 6.304221 E
DP 49.484009 N 6.295831 E
DP 49.485897 N 6.287119 E
DP 49.492592 N 6.281133 E
DP 49.500191 N 6.277785 E
DP 49.494995 N 6.267636 E
DP 49.500702 N 6.264911 E
DP 49.505211 N 6.255383 E
DP 49.508492 N 6.242230 E
DP 49.503708 N 6.210880 E
DP 49.502808 N 6.174874 E
DP 49.494911 N 6.161571 E
DP 49.494911 N 6.153460 E
DP 49.484203 N 6.146979 E
DP 49.484505 N 6.129019 E
DP 49.466499 N 6.125500 E
DP 49.466309 N 6.115630 E
